/home/ccollins/allmols/8/noopt/cam/6hl13la6ea-6ia4dd-4aa4af4ae-.log,6hl13la6ea-6ia4dd-4aa4af4ae-,---,---,---,---,---,---,---,---,---,---
/home/ccollins/allmols/8/noopt/cam/12da12lf-6id4if12fa-6fi-4aa6ff.log,12da12lf-6id4if12fa-6fi-4aa6ff,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.27138928107,-1.45853017482,208,11.8037,-2756.2817153,1.2340,3.28333333333
/home/ccollins/allmols/8/noopt/cam/4hi6aa13df-6ii-13dd6ha12if-4ae-.log,4hi6aa13df-6ii-13dd6ha12if-4ae-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.82405248723,-1.53962009871,208,12.6017,-2620.2766498,2.3428,3.5
/home/ccollins/allmols/8/noopt/cam/6aa13ld13dl-6fe-6ea4ad4hh13ih.log,6aa13ld13dl-6fe-6ea4ad4hh13ih,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.28880456674,-1.67404433497,218,4.4600,-2766.6217665,0.9723,4.68333333333
/home/ccollins/allmols/8/noopt/cam/12fa13df13ef13ff-6fd12eh13la12la.log,12fa13df13ef13ff-6fd12eh13la12la,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.86730023077,-1.59703611865,208,6.4004,-2839.9567084,0.0374,4.55
/home/ccollins/allmols/8/noopt/cam/4af6el-6he12hi12ae13ea6da-6ld-.log,4af6el-6he12hi12ae13ea6da-6ld-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-3.9105479743,-1.5698247348,220,2.4032,-2827.9810252,0.2781,5.43333333333
/home/ccollins/allmols/8/noopt/cam/13li4lf13el-4fa6hl12ah13hd13df-.log,13li4lf13el-4fa6hl12ah13hd13df-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.02129830661,-0.760286065006,224,20.0897,-2917.3967681,0.6460,6.63333333333
/home/ccollins/allmols/8/noopt/cam/6hh6aa-12fi13fa13ed13lh-6dd12da.log,6hh6aa-12fi13fa13ed13lh-6dd12da,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.84444266833,-2.10942647671,208,10.7855,-2738.5787042,-0.5084,4.08333333333
/home/ccollins/allmols/8/noopt/cam/6el6eh6ea-13fh4ff4ii-12de6fa.log,6el6eh6ea-13fh4ff4ii-12de6fa,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.11274691317,-1.21988633838,225,11.3345,-2888.669812,2.1918,6.03333333333
/home/ccollins/allmols/8/noopt/cam/13fe4ai4fl12ah6ha13ih-13df-4fl-.log,13fe4ai4fl12ah6ha13ih-13df-4fl-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.09749018141,-1.14913674034,213,4.6397,-2735.4016546,0.2283,4.33333333333
/home/ccollins/allmols/8/noopt/cam/4df12he4dd4eh-4eh-12hf-6hi6hh.log,4df12he4dd4eh-4eh-12hf-6hi6hh,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.17859846211,-2.02044525149,231,14.5245,-2957.054222,0.3231,5.85
/home/ccollins/allmols/8/noopt/cam/12hh6ae13da-4fh-12ha4hi-13fa-6lh.log,12hh6ae13da-4fh-12ha4hi-13fa-6lh,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.57940378955,-1.10423795698,205,11.5989,-2635.60817,0.0682,4.2
/home/ccollins/allmols/8/noopt/cam/6ll13fh-6ea-6hl-13fh-4da-13fh6ed-.log,6ll13fh-6ea-6hl-13fh-4da-13fh6ed-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.90185868827,-1.37988927546,228,10.5043,-2972.7149131,1.9027,3.91666666667
/home/ccollins/allmols/8/noopt/cam/4ii12ea-6ed-12eh4ai-13ef6eh-6ie-.log,4ii12ea-6ed-12eh4ai-13ef6eh-6ie-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.80389770638,-1.87132686795,222,4.9456,-2760.5930937,0.1134,5.53333333333
/home/ccollins/allmols/8/noopt/cam/12ff13fi12dh6ie6aa-6ad-6fa-13ll.log,12ff13fi12dh6ie6aa-6ad-6fa-13ll,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.42348256004,-1.4612513132,211,10.3523,-2786.6305953,0.6846,3.7
/home/ccollins/allmols/8/noopt/cam/6ha12fl13eh13fd-6ee-12fd-6lf6ef-.log,6ha12fl13eh13fd-6ee-12fd-6lf6ef-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.89097413473,-1.77173320303,229,8.5944,-3067.9616569,1.7994,4.8
